variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,lai_max,parFC,-0.18558532564221555,0.18558532564221555
deterministic,param_mean,geol_1st_class,parTT,-0.18413876628018966,0.18413876628018966
deterministic,param_mean,geol_permeability,parK2,-0.18408978018280192,0.18408978018280192
deterministic,param_mean,soil_porosity,route_b,-0.18406710300028742,0.18406710300028742
deterministic,param_mean,dom_land_cover_frac,parK2,0.18363943443752376,0.18363943443752376
deterministic,param_mean,p_mean,parTT,0.18265707440972115,0.18265707440972115
deterministic,param_mean,high_prec_dur,parBETA,-0.18150906082982063,0.18150906082982063
deterministic,param_mean,sand_frac,parPERC,0.17913295749633434,0.17913295749633434
deterministic,param_mean,carbonate_rocks_frac,parCWH,0.17389574464873503,0.17389574464873503
deterministic,param_mean,low_prec_dur,parK2,-0.17381437283647239,0.17381437283647239
deterministic,param_mean,glim_1st_class_frac,parK2,0.17354713629261417,0.17354713629261417
deterministic,param_mean,soil_depth_pelletier,parCFMAX,-0.17351190341850886,0.17351190341850886
deterministic,param_mean,root_depth_50,parCWH,-0.17304685498086925,0.17304685498086925
deterministic,param_mean,high_prec_freq,parLP,-0.17130213154880725,0.17130213154880725
deterministic,param_mean,gvf_max,parBETA,-0.17106461388520872,0.17106461388520872
deterministic,param_mean,gvf_diff,parBETA,0.16581003195548832,0.16581003195548832
deterministic,param_mean,pet_mean,parBETA,0.1656808314358009,0.1656808314358009
deterministic,param_mean,soil_conductivity,parK1,-0.1641783977888918,0.1641783977888918
deterministic,param_mean,elev_mean,parK0,0.1617250853588975,0.1617250853588975
deterministic,param_mean,lai_max,parBETA,-0.1615702992691194,0.1615702992691194
deterministic,param_mean,root_depth_50,parLP,-0.15992868125345208,0.15992868125345208
deterministic,param_mean,slope_mean,parFC,-0.15838541027977684,0.15838541027977684
deterministic,param_mean,lai_max,route_b,0.15641398026566256,0.15641398026566256
deterministic,param_mean,geol_2nd_class,route_b,-0.155670146281111,0.155670146281111
deterministic,param_mean,low_prec_freq,parLP,-0.15558472189023956,0.15558472189023956
deterministic,param_mean,geol_1st_class,parUZL,-0.15429102660666769,0.15429102660666769
deterministic,param_mean,silt_frac,parCFR,-0.15265089796466902,0.15265089796466902
deterministic,param_mean,high_prec_freq,parK1,-0.15261677578307048,0.15261677578307048
deterministic,param_mean,soil_depth_statsgo,parTT,-0.15241026122276244,0.15241026122276244
deterministic,param_mean,carbonate_rocks_frac,parUZL,-0.15219636371122824,0.15219636371122824
deterministic,param_mean,gvf_max,route_b,0.15155509496478645,0.15155509496478645
deterministic,param_mean,soil_depth_statsgo,parBETA,0.15104284550744304,0.15104284550744304
deterministic,param_mean,silt_frac,parCFMAX,0.1503569074260024,0.1503569074260024
deterministic,param_mean,glim_2nd_class_frac,parUZL,0.15006057786547333,0.15006057786547333
deterministic,param_mean,p_seasonality,parFC,-0.1490931518114121,0.1490931518114121
deterministic,param_mean,lai_max,parLP,-0.1484618165176292,0.1484618165176292
deterministic,param_mean,slope_mean,parLP,0.1481136483678015,0.1481136483678015
deterministic,param_mean,low_prec_dur,parLP,0.14756542780039322,0.14756542780039322
deterministic,param_mean,sand_frac,parK1,-0.14623427264664446,0.14623427264664446
deterministic,param_mean,dom_land_cover_frac,parFC,-0.1459150613812524,0.1459150613812524
deterministic,param_mean,geol_permeability,parLP,0.14453494908463485,0.14453494908463485
deterministic,param_mean,root_depth_50,parFC,-0.1413034385813487,0.1413034385813487
deterministic,param_mean,geol_permeability,parUZL,0.13916979347218558,0.13916979347218558
deterministic,param_mean,slope_mean,parK2,-0.13838642015976943,0.13838642015976943
deterministic,param_mean,glim_2nd_class_frac,parK2,-0.13808611079979266,0.13808611079979266
deterministic,param_mean,lai_diff,route_a,-0.13676347889230592,0.13676347889230592
deterministic,param_mean,soil_depth_statsgo,parK2,-0.1364410693919836,0.1364410693919836
deterministic,param_mean,geol_2nd_class,parCFR,0.13622372041508923,0.13622372041508923
deterministic,param_mean,elev_mean,parFC,-0.13581435471903205,0.13581435471903205
deterministic,param_mean,sand_frac,route_a,0.13470625185257382,0.13470625185257382
deterministic,param_mean,area_gages2,parCFMAX,-0.13434429803210254,0.13434429803210254
deterministic,param_mean,silt_frac,parK0,0.13355708623861995,0.13355708623861995
deterministic,param_mean,gvf_diff,parTT,-0.13326039755609043,0.13326039755609043
deterministic,param_mean,silt_frac,parTT,-0.13277132976291325,0.13277132976291325
deterministic,param_mean,soil_conductivity,parCWH,-0.13139665063275097,0.13139665063275097
deterministic,param_mean,glim_2nd_class_frac,parK0,-0.131390590955211,0.131390590955211
deterministic,param_mean,geol_porosity,parCFMAX,-0.13105667970955323,0.13105667970955323
deterministic,param_mean,high_prec_dur,parK0,-0.13040547554924206,0.13040547554924206
deterministic,param_mean,carbonate_rocks_frac,parK1,-0.12943092158981284,0.12943092158981284
deterministic,param_mean,soil_porosity,route_a,-0.1291252220959583,0.1291252220959583
deterministic,param_mean,glim_1st_class_frac,parK0,0.1286398564167995,0.1286398564167995
deterministic,param_mean,frac_forest,route_a,-0.12800733850460935,0.12800733850460935
deterministic,param_mean,aridity,parUZL,-0.12762414510853404,0.12762414510853404
deterministic,param_mean,glim_1st_class_frac,parBETA,0.1268365534300283,0.1268365534300283
deterministic,param_mean,low_prec_dur,route_a,0.12650381951040057,0.12650381951040057
deterministic,param_mean,geol_porosity,parTT,-0.12631598232431518,0.12631598232431518
deterministic,param_mean,p_seasonality,parCFR,0.12621840818868404,0.12621840818868404
deterministic,param_mean,geol_porosity,route_b,-0.12558443021540236,0.12558443021540236
deterministic,param_mean,slope_mean,parK1,-0.12417163792115402,0.12417163792115402
deterministic,param_mean,geol_2nd_class,parK0,-0.12341545184107744,0.12341545184107744
deterministic,param_mean,geol_permeability,parCFMAX,-0.1232063522930857,0.1232063522930857
deterministic,param_mean,lai_diff,parTT,0.12307167022128394,0.12307167022128394
deterministic,param_mean,dom_land_cover,route_a,0.12194167899498685,0.12194167899498685
deterministic,param_mean,geol_1st_class,parCFMAX,-0.12025476886417379,0.12025476886417379
deterministic,param_mean,geol_1st_class,parK1,0.11945573001737743,0.11945573001737743
deterministic,param_mean,soil_porosity,parCFMAX,-0.11922350886857995,0.11922350886857995
deterministic,param_mean,area_gages2,parLP,0.11842894970134303,0.11842894970134303
deterministic,param_mean,lai_diff,parBETA,-0.11756910664893766,0.11756910664893766
deterministic,param_mean,geol_permeability,parCFR,0.11750143301792618,0.11750143301792618
deterministic,param_mean,area_gages2,parTT,-0.11680428519340176,0.11680428519340176
deterministic,param_mean,geol_2nd_class,parLP,0.11525013669478355,0.11525013669478355
deterministic,param_mean,carbonate_rocks_frac,parCFMAX,-0.11522580635802826,0.11522580635802826
deterministic,param_mean,lai_diff,parUZL,-0.1129331964384899,0.1129331964384899
deterministic,param_mean,soil_conductivity,route_a,0.11135814655278561,0.11135814655278561
deterministic,param_mean,area_gages2,parUZL,-0.10945877063659251,0.10945877063659251
deterministic,param_mean,p_mean,parFC,-0.10601359490828126,0.10601359490828126
deterministic,param_mean,geol_2nd_class,parCFMAX,-0.1058469251608264,0.1058469251608264
deterministic,param_mean,low_prec_dur,parBETA,0.1057821240020422,0.1057821240020422
deterministic,param_mean,root_depth_50,parTT,0.10575302180162634,0.10575302180162634
deterministic,param_mean,root_depth_50,route_b,0.10562948890329174,0.10562948890329174
