paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
IC,GD,xaj_cg,cg,0.01,531,0.12990875249381806,0,0.29589297343587345,0.38606403013182672,,,,,
IC,GD,xaj_cg,cg,0.02,531,0.12990875249381806,0,0.29589297343587345,0.39548022598870058,,,,,
IC,GD,xaj_cg,cg,0.050000000000000003,531,0.12990875249381806,0,0.29589297343587345,0.4256120527306968,,,,,
IC,GD,xaj_ci,ci,0.01,531,0.14839683175091947,0,0.32348930223618311,0.37853107344632769,,,,,
IC,GD,xaj_ci,ci,0.02,531,0.14839683175091947,0,0.32348930223618311,0.38041431261770242,,,,,
IC,GD,xaj_ci,ci,0.050000000000000003,531,0.14839683175091947,0,0.32348930223618311,0.40489642184557439,,,,,
IC,GD,xaj_dm,dm,0.01,531,0,0,0.07200891870924811,0.7231638418079096,,,,,
IC,GD,xaj_dm,dm,0.02,531,0,0,0.07200891870924811,0.72693032015065917,,,,,
IC,GD,xaj_dm,dm,0.050000000000000003,531,0,0,0.07200891870924811,0.74387947269303201,,,,,
IC,GD,xaj_ex,ex,0.01,531,0,0,0.079362743497499,0.68926553672316382,,,,,
IC,GD,xaj_ex,ex,0.02,531,0,0,0.079362743497499,0.6911487758945386,,,,,
IC,GD,xaj_ex,ex,0.050000000000000003,531,0,0,0.079362743497499,0.72504708097928439,,,,,
IC,GD,xaj_im,im,0.01,531,0,0,0,0.81355932203389836,,,,,
IC,GD,xaj_im,im,0.02,531,0,0,0,0.82297551789077217,,,,,
IC,GD,xaj_im,im,0.050000000000000003,531,0,0,0,0.84180790960451979,,,,,
IC,GD,xaj_k,k,0.01,531,0.14874591418693464,0.06678910525874926,0.24525510263173464,0.18455743879472694,,,,,
IC,GD,xaj_k,k,0.02,531,0.14874591418693464,0.06678910525874926,0.24525510263173464,0.1864406779661017,,,,,
IC,GD,xaj_k,k,0.050000000000000003,531,0.14874591418693464,0.06678910525874926,0.24525510263173464,0.2128060263653484,,,,,
IC,GD,xaj_kg,kg,0.01,531,0,0,0.1966447356675283,0.56120527306967982,,,,,
IC,GD,xaj_kg,kg,0.02,531,0,0,0.1966447356675283,0.56308851224105461,,,,,
IC,GD,xaj_kg,kg,0.050000000000000003,531,0,0,0.1966447356675283,0.57250470809792842,,,,,
IC,GD,xaj_ki,ki,0.01,531,0.11305710387343548,0,0.34146463150274192,0.44067796610169491,,,,,
IC,GD,xaj_ki,ki,0.02,531,0.11305710387343548,0,0.34146463150274192,0.44444444444444442,,,,,
IC,GD,xaj_ki,ki,0.050000000000000003,531,0.11305710387343548,0,0.34146463150274192,0.46516007532956688,,,,,
IC,GD,xaj_lm,lm,0.01,531,0,0,0.24886221123968477,0.60828625235404898,,,,,
IC,GD,xaj_lm,lm,0.02,531,0,0,0.24886221123968477,0.60828625235404898,,,,,
IC,GD,xaj_lm,lm,0.050000000000000003,531,0,0,0.24886221123968477,0.61581920903954801,,,,,
IC,GD,xaj_sm,sm,0.01,531,0.13112394787510279,0,0.28361169620346122,0.34274952919020718,,,,,
IC,GD,xaj_sm,sm,0.02,531,0.13112394787510279,0,0.28361169620346122,0.35404896421845572,,,,,
IC,GD,xaj_sm,sm,0.050000000000000003,531,0.13112394787510279,0,0.28361169620346122,0.37476459510357818,,,,,
IC,GD,xaj_theta,theta (UH scale),0.01,531,0,0,0.053850200187311216,0.6704331450094162,,,,,
IC,GD,xaj_theta,theta (UH scale),0.02,531,0,0,0.053850200187311216,0.6911487758945386,,,,,
IC,GD,xaj_theta,theta (UH scale),0.050000000000000003,531,0,0,0.053850200187311216,0.73822975517890776,,,,,
IC,GD,xaj_um,um,0.01,531,0,0,0,0.80037664783427498,,,,,
IC,GD,xaj_um,um,0.02,531,0,0,0,0.80225988700564976,,,,,
IC,GD,xaj_um,um,0.050000000000000003,531,0,0,0,0.81544256120527303,,,,,
dPL,Base,xaj_a,a (UH shape),0.01,531,0.2412680510816903,0.11173329373885843,0.37839388025218046,0.020715630885122412,,,,,
dPL,Base,xaj_a,a (UH shape),0.02,531,0.2412680510816903,0.11173329373885843,0.37839388025218046,0.035781544256120526,,,,,
dPL,Base,xaj_a,a (UH shape),0.050000000000000003,531,0.2412680510816903,0.11173329373885843,0.37839388025218046,0.10357815442561205,,,,,
dPL,Base,xaj_b,b,0.01,531,0.14895350995816684,0.05697166292290938,0.3115307092666626,0.086629001883239173,,,,,
dPL,Base,xaj_b,b,0.02,531,0.14895350995816684,0.05697166292290938,0.3115307092666626,0.128060263653484,,,,,
dPL,Base,xaj_b,b,0.050000000000000003,531,0.14895350995816684,0.05697166292290938,0.3115307092666626,0.23728813559322035,,,,,
dPL,Base,xaj_c,c,0.01,531,0.0053257465362548384,0.0013609647750854048,0.015604686737060502,0.64971751412429379,,,,,
dPL,Base,xaj_c,c,0.02,531,0.0053257465362548384,0.0013609647750854048,0.015604686737060502,0.77024482109227876,,,,,
dPL,Base,xaj_c,c,0.050000000000000003,531,0.0053257465362548384,0.0013609647750854048,0.015604686737060502,0.87570621468926557,,,,,
dPL,Base,xaj_cg,cg,0.01,531,0.18386125564575195,0.10022509098052969,0.32289183139801009,0.022598870056497175,,,,,
dPL,Base,xaj_cg,cg,0.02,531,0.18386125564575195,0.10022509098052969,0.32289183139801009,0.04519774011299435,,,,,
