paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
IC,xaj_im,im,leave_out_S4,S4,497,-0.38785743174689841,-0.55535780703843329,-0.21474458881342412,-0.24818119110114781,-0.33618452666878973,-0.15616886188161802,0,0,0
IC,xaj_im,im,leave_out_S5,S5,476,-0.13659335482143559,-0.34193985059537507,0.070859979518765159,-0.1366624628769087,-0.21515918233872389,-0.045123640437768245,0,0,0
IC,xaj_um,um,exclude_S5,S5,476,0.56320467081705028,0.20247204860415013,0.95730620523909427,0.14935519947915188,0.068246751650423737,0.23180475022340791,0,0,0
IC,xaj_um,um,leave_out_S1,S1,366,0.47008481064108221,0.23771007593195315,0.67982451785227704,0.2000734006035797,0.089268833502818445,0.30081697643285726,0,0,0
IC,xaj_um,um,leave_out_S2,S2,375,0.55198416259714467,0.35180053282914187,0.75244347080338481,0.26796262944141197,0.16306498049343926,0.36888371100693379,0,0,0
IC,xaj_um,um,leave_out_S3,S3,410,0.52528606447564796,0.33346305228433726,0.70432563976336593,0.23910790389149575,0.15009935782036396,0.32211061990276874,0,0,0
IC,xaj_um,um,leave_out_S4,S4,497,0.51270747217283619,0.31305776460890195,0.73317402939976528,0.19288741699585937,0.10314233481739821,0.27641609398801453,0,0,0
IC,xaj_um,um,leave_out_S5,S5,476,0.56320467081705028,0.18831100129358314,0.97924902623338272,0.14935519947915188,0.049716198901977413,0.24349196963388037,0,0,0
IC,xaj_lm,lm,exclude_S5,S5,476,0.59286466004892235,0.22891946957093548,0.99757926857772172,0.16666894464135709,0.074353550286860026,0.25974568787689556,0,0,0
IC,xaj_lm,lm,leave_out_S1,S1,366,0.36045435023713251,0.15550708894510559,0.55854425738309632,0.19273482929487559,0.10228584284061472,0.2868431644619584,0,0,0.072139494140136429
IC,xaj_lm,lm,leave_out_S2,S2,375,0.36627118991719682,0.19091783552002078,0.55887263165543077,0.19294320534344275,0.10036692311040134,0.28729166452471805,0,0,0.049518538335469806
IC,xaj_lm,lm,leave_out_S3,S3,410,0.37929633953639108,0.21550411738147532,0.53975860182535595,0.12240045395329031,0.024721487914940467,0.21618416626318515,0,0,0
IC,xaj_lm,lm,leave_out_S4,S4,497,0.4122810496300261,0.22746964106836789,0.58441847847918593,0.19483069304194217,0.10676323687991113,0.2706943127314575,0,0,0
IC,xaj_lm,lm,leave_out_S5,S5,476,0.59286466004892235,0.18497431213216889,0.99593764492908121,0.16666894464135709,0.075533408213226419,0.25537561696643801,0,0,0
IC,xaj_dm,dm,exclude_S5,S5,476,0.11044504807435297,-0.27983619259184644,0.50176847146409309,0.0095679984815089849,-0.07683168875770921,0.10437125826257047,0,0,0
IC,xaj_dm,dm,leave_out_S1,S1,366,-0.67934664958246749,-0.93746952019563545,-0.37067946833075632,-0.1771146220077997,-0.2856209259366308,-0.065438082722043919,0,0,0
IC,xaj_dm,dm,leave_out_S2,S2,375,-0.5258294423381209,-0.72852908002150096,-0.27261274710519984,-0.16068068751719411,-0.25893140896195094,-0.060388970451338043,0,0,0
IC,xaj_dm,dm,leave_out_S3,S3,410,-0.5642798408151628,-0.76772437347301647,-0.30386806479335715,-0.13478083346458758,-0.22589640619941959,-0.03185491404245782,0,0,0
IC,xaj_dm,dm,leave_out_S4,S4,497,-0.6126263519608387,-0.8447900494861561,-0.38585390665080849,-0.12377222070727482,-0.21040565049225288,-0.035126673671987199,0,0,0
IC,xaj_dm,dm,leave_out_S5,S5,476,0.11044504807435297,-0.30201914804028024,0.48636945289452088,0.0095679984815089849,-0.085162991239260383,0.10278894049185161,0,0,0
IC,xaj_c,c,exclude_S5,S5,476,0.15322208398064505,-0.28640152510803085,0.62285371078074792,0.045264201486674309,-0.042558337112082137,0.12988260118155381,0,0,0
IC,xaj_c,c,leave_out_S1,S1,366,0.24124963752458131,-0.020551022754859847,0.52095160173997557,0.064158447061473681,-0.040966419288134208,0.16850518787286733,0,0,0
IC,xaj_c,c,leave_out_S2,S2,375,0.30286577570751039,0.083217833977416014,0.53748176383476498,0.10273836904806895,0.0070089719706667789,0.20763722420183517,0,0,0
IC,xaj_c,c,leave_out_S3,S3,410,0.27406170551914005,0.052778943777985941,0.50108922348558682,0.090105900506436493,-0.0035596309547057271,0.18384810735966675,0,0,0
IC,xaj_c,c,leave_out_S4,S4,497,0.32000625650194142,0.095248166594279024,0.58258327120544151,0.10361745533656126,0.016900125526327778,0.19020603065461847,0,0,0
IC,xaj_c,c,leave_out_S5,S5,476,0.15322208398064505,-0.31418665346803021,0.58502292298576131,0.045264201486674309,-0.044251616152695704,0.12929785335784538,0,0,0
IC,xaj_sm,sm,exclude_S5,S5,476,0.15581851493537988,-0.085068706762363652,0.40801675709045432,0.031300643010978645,-0.056649522493089972,0.13698862887054375,0,-0.0051055656221355439,0
IC,xaj_sm,sm,leave_out_S1,S1,366,0.13250200701435264,-0.080780894259848773,0.34734632231046075,0.10289493734360411,-0.0033317395399507753,0.20225887989480357,0,0,0
IC,xaj_sm,sm,leave_out_S2,S2,375,0.19247489198135609,0.017247343145163432,0.39000119013553936,0.13710041281349772,0.033093726183560893,0.23740065263645255,0,-1.2438798389285932e-05,0
IC,xaj_sm,sm,leave_out_S3,S3,410,0.18954281056612554,-0.00019143879485274826,0.38841646415237013,0.18464643617761878,0.082063576539030875,0.28317438018365698,0,0,0
IC,xaj_sm,sm,leave_out_S4,S4,497,0.12389180015377574,-0.051016527118347234,0.29940181294186202,0.056696010344586004,-0.032547897814276805,0.14969247321602608,0,-0.000740052761979762,0
IC,xaj_sm,sm,leave_out_S5,S5,476,0.15581851493537988,-0.091850101164539677,0.39962027184784532,0.031300643010978645,-0.065242843670673581,0.13255416773038195,0,-0.0035497976524981188,0
