paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
dPL,TGD-CN,ExcludeS5,476,prop_between_gt_within,0.84033613445378152,0.80672268907563027,0.87394957983193278
dPL,TGD-CN,ExcludeS5,476,prop_excess_gt_0,0.84033613445378152,0.80561974789915969,0.87394957983193278
dPL,TGD-CN,S1,165,within_a,0.1131729619566595,0.1052708130447975,0.12946306621337267
dPL,TGD-CN,S1,165,within_b,0.1001536940878608,0.091909305810422337,0.10880136057322691
dPL,TGD-CN,S1,165,within_pooled,0.1156178546521282,0.10669918122872939,0.12367430977321113
dPL,TGD-CN,S1,165,between_all,0.1309750056236228,0.11903812574539216,0.13898134640700394
dPL,TGD-CN,S1,165,excess,0.013391348188518476,0.0087078480950130814,0.021794680727908258
dPL,TGD-CN,S1,165,prop_between_gt_within,0.70909090909090911,0.63636363636363635,0.77893939393939382
dPL,TGD-CN,S1,165,prop_excess_gt_0,0.70909090909090911,0.64848484848484844,0.77575757575757576
dPL,TGD-CN,S2,156,within_a,0.10619190065296222,0.099610479726755574,0.11645395073527652
dPL,TGD-CN,S2,156,within_b,0.095714503531367734,0.087883507883065648,0.10311088440805037
dPL,TGD-CN,S2,156,within_pooled,0.1024574859951769,0.095692481753031564,0.11177938118127387
dPL,TGD-CN,S2,156,between_all,0.15671522886420236,0.13826259627588272,0.16958879656746306
dPL,TGD-CN,S2,156,excess,0.048963774238664048,0.041237717741102617,0.056525825412067396
dPL,TGD-CN,S2,156,prop_between_gt_within,0.88461538461538458,0.82692307692307687,0.9358974358974359
dPL,TGD-CN,S2,156,prop_excess_gt_0,0.88461538461538458,0.83974358974358976,0.92948717948717952
dPL,TGD-CN,S3,121,within_a,0.14038616789949934,0.12518924887271629,0.15125135759428021
dPL,TGD-CN,S3,121,within_b,0.098200916896641802,0.092132810210068472,0.10749564079432929
dPL,TGD-CN,S3,121,within_pooled,0.12153767741853158,0.10702500006652629,0.13132060361252534
dPL,TGD-CN,S3,121,between_all,0.1971820877788199,0.17929939303150969,0.21857607296279205
dPL,TGD-CN,S3,121,excess,0.090838088871503242,0.064933154640812688,0.10461666185839359
dPL,TGD-CN,S3,121,prop_between_gt_within,0.94214876033057848,0.90082644628099173,0.98347107438016534
dPL,TGD-CN,S3,121,prop_excess_gt_0,0.94214876033057848,0.90082644628099173,0.97954545454545439
dPL,TGD-CN,S4,34,within_a,0.22437309354392779,0.16470260068805084,0.24004443617593058
