metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S1,161,161,-0.06103392133711416,-0.07537681955736608,-0.04878375159244808,,XAJ-TGD
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S2,155,155,-0.04038575061396821,-0.05676759129671893,-0.027346801546414334,,XAJ-TGD
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S3,118,118,-0.038211937612179,-0.058772997013644405,-0.031116007073946874,,XAJ-TGD
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S4,32,32,-0.01553835202056636,-0.043910172072040454,-0.004732685955524538,,XAJ-TGD
kge,test,IC-dPL,D_IC_minus_dPL,snow_stratum,S5,49,49,-0.01449175876321196,-0.018352869374753278,-0.0019039274238920045,,XAJ-TGD
kge,test,IC-dPL,A_IC_minus_dPL,full_sample,full_sample,531,531,0.03871798122098746,0.034166140502784104,0.04854394712257715,,XAJ-CN
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S1,165,165,0.06058910436725318,0.040818877329484304,0.07082506120056176,,XAJ-CN
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S2,156,156,0.03485379258675786,0.02883018039107678,0.04854394712257715,,XAJ-CN
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S3,121,121,0.025812495487559706,0.020865203783265618,0.030276118360006876,,XAJ-CN
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S4,34,34,0.03932796921995346,0.02587257062413672,0.10177536634516249,,XAJ-CN
kge,test,IC-dPL,A_IC_minus_dPL,snow_stratum,S5,55,55,0.07523014065933809,0.05870076860195872,0.09131028644121941,,XAJ-CN
kge,test,IC-dPL,B_IC_minus_dPL,full_sample,full_sample,531,531,0.007747122055127509,0.0024582488935692703,0.012593621462760385,,XAJ-CN
kge,test,IC-dPL,B_IC_minus_dPL,snow_stratum,S1,165,165,0.003783962951673381,-0.009241912201195523,0.013601738384989126,,XAJ-CN
